"access_info"
"9:00~21:00, 정시"
"10:00-23:00, 정시"
"09:00~22:00  첫째둘째 월요일및공휴일 미개방, 정시"
"(평일) 06:00-22:00 (주말) 09:00-18:00, 정시"
"10:00~18:00"
"08:00-23:00, 정시"
"09:00~18:00"
"07:00~23:00"
"05:00~19:00"
"09~17시, 정시"
"09:000~18:00, 정시"
"08:30~22:30, 정시"
"20시간"
"10:30~18:30, 정시"
"09~18, 정시"
"(평일) 09:00-18:00, 정시"
"(평일)08:00~22:00+(휴일)09:00~21:00, 정시"
"10:30~21:00, 정시"
"07:30~22:00"
"05:00-21:00, 정시"
"09:00-22:00, 정시"
"10:30~19:30"
"05:00~22:00, 무휴, 정시"
"(평일)09:00~18:00+(토)09:00~18:00, 정시"
"6:30~23:30, 정시"
"09:00~18;00"
"(평일)09:00-18:00+(주말)09:00-18:00, 정시"
"(평일화~금)(주말토)9:00~18:00, 정시"
"08:30~21:00, 정시"
"06:30~21:00, 정시"
"09:00-18:00 주말및공휴일 미개방, 정시"
"(평일)09:00~22:00+(주말)09:00~18:00, 정시"
"(평일)09:00~22:00+(휴일)09:00~22:00, 정시"
"09:00~18:00(출동 시 미개방), 정시"
"09-18시, 정시"
"08:30~17:00, 정시"
"09:00~21:00, 정시"
"운영시, 불규칙"
"08:30-18:00, 정시"
"운영시간 내(화-토, 09:30-17:00), 정시"
"00:00~24:00, 정시"
"월-금(05:00-24:00), 토(05:00-17:00), 일 휴무, 정시"
"05:00~22:00, 정시"
"평일(09~20시) 토요일(09~15시), 상시"
"11시간, 정시"
"08:00~22:00,(월요일휴관,3층화장실이용불가), 정시"
"10~22시, 정시"
"금요일 09:00~18:00, 정시"
"(평일)09:00-20:00+(주말)09:00-17:00, 정시"
"24시간 개방, 정시"
"06:30~22:00, 정시"
"09 ~ 18시, 정시"
"(평일) 09:00-18:00 + (주말) 10:00-15:00, 정시"
"09:00~18:00, 불규칙"
"07:00~23:00, 상시"
"10:30~20:00, 정시"
"04:00~00:00"
"09:00-18:00+공휴일, 국경일 미개방, 정시"
"05:00~00:00"
"09:00~20:00, 상시"
"월~금,08:00~18:00, 정시"
"09:00~18:00 출동시 미개방, 정시"
"09:00~18:00, 상시"
"평일09-22시, 주말 09~22시(금요일 휴관), 정시"
"00~24, 정시"
"09~18"
"(평일)07:00~23:00+(휴일)07:00~23:00, 정시"
"(평일)09:00-18:00+공휴일, 국경일 미개방, 정시"
"24시간, 정시"
"화-금(09:00~18:00), 토-일(09:00~17:00), 월 휴관, 정시"
"09:00~22:30, 정시"
"(평일)08:00~20:00+(휴일)08:00~20:00, 정시"
"11:00-21:00, 정시"
"05:00~24:00, 상시"
"7:30~21:00, 정시"
"06~22시, 정시"
"08:30~18:00, 정시"
"08~18"
"8시간, 정시"
"08시~22시, 정시"
"(평일)09:00-18:00+(주말)09:00-12:00, 정시"
"6시간, 정시"
"(평일)10:30-20:00+(주말)10:30-20:30, 정시"
"07~22"
"평일 08:30~17:00, 정시"
"07:00-18:00+ 일요일폐쇄, 정시"
"08:00-19:00, 정시"
"(화~토)09:00~18:00+(일)09:00~17:00, 정시"
"05:30~23:30, 정시"
"05:30~23:00, 정시"
"09:00~19:30, 정시"
"06:00~23:30"
"05:00~20:00, 정시"
"06:00~19:30, 정시"
"평일(09:00∼21:00), 정시"
"09:00~19:00"
"주중 업무시간중(09시~18시), 정시"
"08:00 ~ 22:00"
"05:00~대관마감시간까지, 정시"
"09:00-20:00, 정시"
"09;00~18:00, 정시"
"(평일)09:00-21:00(화요일 휴관), (주말)09:00-17:00, 정시"
"운영시간 내, 불규칙"
"(평일)09:00~21:00(주말)09:00~18:00 (매주 월 휴관)"
"07:00-20:00+ 일요일폐쇄, 정시"
"정시(06:00 ~ 24:00), 정시"
"정시, 정시"
"07시~22시, 정시"
"09:00~21:00"
"11:00~21:00, 상시"
"(평일)06:00~23:00, 정시"
"평일 7:00~20:00, 토요일 8:00~17:00, 정시"
"(평일)09:00-20:00+(토요일)09:00-19:00, 정시"
"(평일)09:00~20:00+(주말)09:00~17:00, 정시"
"07~19(국가공휴일 미개방)"
"07:00-19:30, 정시"
"07:00-23:00, 정시"
"(화-토) 09:00-21:00, 정시"
"10:00~17:00, 월,화 휴관, 정시"
"09:00~15:00, 정시"
"10:00-17:00, 정시"
"(평일)07:00~20:00+(휴일)9:00~16:00, 정시"
"정시(월~금), 정시"
"평일 09:00~18:00"
"06:00~21:00, 상시"
"09:00~22:00(평일)+09:00~18:00(주말), 정시"
"08~21"
"1-3층(04:00-23시)+2층(04:00-익일01시), 정시"
